สถานะการเข้างาน,หมายเลขงาน,รหัสร้าน,ชื่อร้าน,โซน,ทีม,สัญญา,ผู้รับผิดชอบงาน,แผนเข้างาน,เวลาเริ่มงาน,เวลาปิดงาน,ข้อเสนอแนะ,ข้อเสนอแนะเพิ่มเติม
"ตรงแผน","520003302794","B18173","ท่าโขลง(ท่าวุ้ง) (RC)","RC","RC5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 09:38:34","2024-06-07 11:13:17","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520003306428","B18402","ชุมชนบางพึ่ง(บ้านหมี่) (RC)","RC","RC5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 14:28:26","2024-06-07 15:31:03","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520003758824","B02893","สาขา ถนนเลียบคลองหัวหิน","RSU","RSU4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 16:05:15","2024-06-07 17:15:26","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520003758926","B13765","สาขา PTTOR สวนสนประดิพัทธ์","RSU","RSU4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 14:31:20","2024-06-10 16:07:36","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520003759095","B19578","หน้ากองบิน5 (URS)","RSU","RSU4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-06 08:45:46","2024-06-06 09:45:37","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020223","B00062","สาขา ดอนเมือง-1","BN","BN7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-11 04:18:54","2024-06-11 04:41:45","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020279","B00179","สาขา ลาดพร้าว-48","BE","BE6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 23:07:36","2024-06-10 23:16:59","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020342","B00342","สาขา พิบูลย์อุปถัมภ์","BE","BE6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 23:43:51","2024-06-10 23:54:52","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020352","B00382","สาขา สวรรค์วิถี 32","RC","RC1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 13:09:56","2024-06-08 13:48:41","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020384","B00457","สาขา พระราม 6 ซ.19","BW","BW1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-07 00:41:29","2024-06-07 00:46:54","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020438","B00652","สาขา รพ. สระบุรี","RC","RC8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 04:55:58","2024-06-10 05:50:35","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020484","B00748","สาขา โชคสมานกุล","RSL","RSL5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-10 13:05:18","2024-06-10 13:57:45","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020510","B00820","สาขา หลัง ร.พ.หาดใหญ่","RSL","RSL5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-08 12:33:07","2024-06-08 13:38:13","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020518","B00849","สาขา BOOTH ม.เกษตร (สหกรณ์)","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-08","2024-06-11 18:44:11","2024-06-11 19:38:04","ระบุปัญหาที่พบ (ถ้ามี)",""
