สถานะการเข้างาน,หมายเลขงาน,รหัสร้าน,ชื่อร้าน,โซน,ทีม,สัญญา,ผู้รับผิดชอบงาน,แผนเข้างาน,เวลาเริ่มงาน,เวลาปิดงาน,ข้อเสนอแนะ,ข้อเสนอแนะเพิ่มเติม
"ตรงแผน","520003758886","B04675","สาขา ลาดหญ้ากาญจน์","RSU","RSU7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 12:53:06","2024-06-09 15:43:16","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520003758964","B07083","สาขา ลาดหญ้ากาญจน์ 2","RSU","RSU7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-08 22:07:16","2024-06-09 00:33:13","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520003758804","B10228","สาขา ค่ายสุรสีห์","RSU","RSU7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-09 12:26:47","2024-06-09 14:27:08","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520003758838","B10763","สาขา ปตท.ลาดหญ้า","RSU","RSU7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-08 21:55:22","2024-06-09 01:18:59","ระบุปัญหาที่พบ (ถ้ามี)"," "
"ตรงแผน","520003759096","B19619","PTTOR กำเนิดนพคุณ (URS)","RSU","RSU4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 14:20:52","2024-06-11 14:56:31","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020388","B00473","สาขา รังสิตซิตี้","BN","BN5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-10 00:22:14","2024-06-10 01:13:21","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020446","B00680","สาขา กม.27 (พหลโยธิน)","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-11 01:45:45","2024-06-11 02:52:12","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020464","B00706","สาขา ม.หรรษา","BW","BW9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-08 03:42:24","2024-06-08 03:52:22","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020468","B00713","สาขา เจษฎาบดินทร์","RN","RN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-08 12:40:04","2024-06-08 15:10:07","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020623","B01131","สาขา ประจักษ์(จ.หนองคาย)","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-09","2024-06-10 10:19:00","2024-06-10 11:13:11","ระบุปัญหาที่พบ (ถ้ามี)",""
